INDICAÇÃO,TÍTULO,AUTOR,EDITORA,QUANT,VALOR UNITÁRIO,VALOR TOTAL
FUNDAMENTAL II,"O PIOLHO, A PRINCESA E O TROVADOR","ARLENE HOLANDA, LENICE GOMES",IMEPH,1100,50,55000
FUNDAMENTAL II,O REFÚGIO DAS INTERROGAÇÕES,MARCIEL MELO,IMEPH,1100,50,55000
FUNDAMENTAL II,PESCADORES DE HISTÓRIAS,FABIANA GUIMARÃES,IMEPH,1100,65,71500
FUNDAMENTAL II,"PIRANGI, PIRANGI",ALBANY CASTRO BARROS,IMEPH,1100,70,77000
FUNDAMENTAL II,POESIA EM CENA 1,ANA THAIS FEITOSA,IMEPH,1100,110,121000
FUNDAMENTAL II,POESIA EM CENA 2,ANA THAIS FEITOSA,IMEPH,1100,110,121000
FUNDAMENTAL II,POESIA EM CENA 3,FLAVIA SUASSUNA,IMEPH,1100,110,121000
FUNDAMENTAL II,QUATRO LÉGUAS E MEIA DE CORDEL,ANTONIO FRANCISCO,IMEPH,1100,50,55000
FUNDAMENTAL II,SETE CONTOS DE MARIA,ANTONIO FRANCISCO,IMEPH,1100,50,55000
FUNDAMENTAL II,TODAS AS CORES DO NEGRO,ARLENE HOLANDA,IMEPH,1100,50,55000
FUNDAMENTAL II,VAMOS FALAR SOBRE CÂNCER?,PAOLA TÔRRES,IMEPH,1100,50,55000
FUNDAMENTAL II,VENCENDO A DENGUE,CRISPINIANO NETO,IMEPH,1100,65,71500
FUNDAMENTAL II,VOZES DA TRADIÇÃO,MARCO HAURÉLIO,IMEPH,1100,130,143000
FUNDAMENTAL II,CASTELO DE AREIA,LARA T. VAINSTOK,INDEPENDENTE,1100,60,66000
FUNDAMENTAL II,A + PERTO DO CORAÇÃO,LUH OLIVEIRA,INVERSO,1100,42,46200
FUNDAMENTAL II,A CASA DO MORRO BRANCO,RACHEL DE QUEIROZ,JOSE OLYMPIO,1100,50,55000
FUNDAMENTAL II,AS TRÊS MARIAS,RACHEL DE QUEIROZ,JOSE OLYMPIO,1100,55,60500
FUNDAMENTAL II,DORA DORALINA,RACHEL DE QUEIROZ,JOSE OLYMPIO,1100,60,66000
FUNDAMENTAL II,JACARANDAS EM FLOR,GRACILIANO RAMOS,JOSE OLYMPIO,1100,60,66000
FUNDAMENTAL II,LAMPIÃO E A BEATA MARIA DO EGITO,RACHEL DE QUEIROZ,JOSE OLYMPIO,1100,55,60500
FUNDAMENTAL II,O GALO DE OURO,RACHEL DE QUEIROZ,JOSE OLYMPIO,1100,70,77000
FUNDAMENTAL II,TRANSATLÂNTICO,MARIANA MARQUES,LA BARCA,1100,50,55000
FUNDAMENTAL II,A CAÇADA DE GOYA,KARINNA PIMENTA,LÊ,1100,62,68200
FUNDAMENTAL II,CLUBE DA COVA,LUÍS DILL,LÊ,1100,56,61600
FUNDAMENTAL II,CONTOS DE OLOFI,TEREZA CARDENAS,LÊ,1100,59,64900
FUNDAMENTAL II,MESTRE LISBOA: O ALEIJADINHO,NELSON CRUZ,LÊ,1100,60,66000
FUNDAMENTAL II,"METADE PAI, METADE MUNDO",ROSA AMANDA STRAUSZ,LÊ,1100,62,68200
FUNDAMENTAL II,METAMORFOSES,FLÁVIA CÔRTES; FLÁVIA MUNIZ; REGINA DRUMMOND; ROSANA RIOS; SALMO,LÊ,1100,61,67100
FUNDAMENTAL II,O JARDIM DE PIPOCAS,RAIMUNDO MATOS DE LEÃO,LÊ,1100,59,64900
FUNDAMENTAL II,O MÃO DE VELUDO,LUIS EDUARDO MATTA,LÊ,1100,68,74800
